Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Accurate Passes per 90,Pass Success (%),Big Chances Created,Total Assists,Big Chances Missed,Clean Sheets,Goals Conceded,Successful Dribbles per 90,Dribble Success Rate (%),Clearances per 90,Total Clearances,Expected Assists (xA),Actual Assists,Expected Assists per 90,Actual Assists per 90,Expected Goals (xG),Expected Goals on Target (xGOT),Expected Goals per 90,Fouls Committed per 90,Goals Conceded per 90,Total Goals Conceded,Total Goals,Interceptions per 90,Total Interceptions,Shots on Target per 90,Shot Accuracy (%),Blocks per 90,Total Blocks,Penalties Conceded,Total Matches,Penalties Won,Fouls Won per 90,FotMob Rating,Player of the Match Awards,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Saves per 90,Total Saves,Tackles per 90,Tackle Success Rate (%),Assists,Secondary Assists,Goals,Penalties,Chances Created,Chances Created per 90,Shots per 90,Yellow Cards,Minutes,Matches,Country,Shot Conversion Rate (%),Actual Goals,Goals per 90,Red Cards,Pos,Age,Position_Group,Metrics_Available,Metrics_Required,Metric_Coverage,Metric_Coverage_Pct,Tackles per 90 Percentile,Tackle Success Rate (%) Percentile,Interceptions per 90 Percentile,Clearances per 90 Percentile,Blocks per 90 Percentile,Accurate Passes per 90 Percentile,Pass Success (%) Percentile,Accurate Long Balls per 90 Percentile,Successful Long Balls (%) Percentile,Possessions Won Midfield per 90 Percentile,Chances Created per 90 Percentile,Expected Assists per 90 Percentile,Actual Assists per 90 Percentile,Successful Dribbles per 90 Percentile,Goals per 90 Percentile,Expected Goals per 90 Percentile,Shots per 90 Percentile,Shots on Target per 90 Percentile,Shot Accuracy (%) Percentile,Shot Conversion Rate (%) Percentile,Scouting_Score,Defensive_Defender_Tackles_per_90_Pct,Defensive_Defender_Tackle_Success_Rate_(%)_Pct,Defensive_Defender_Interceptions_per_90_Pct,Defensive_Defender_Clearances_per_90_Pct,Defensive_Defender_Blocks_per_90_Pct,Defensive Defender Score,Ball_Playing_Defender_Accurate_Passes_per_90_Pct,Ball_Playing_Defender_Pass_Success_(%)_Pct,Ball_Playing_Defender_Accurate_Long_Balls_per_90_Pct,Ball_Playing_Defender_Successful_Long_Balls_(%)_Pct,Ball Playing Defender Score,Ball_Winning_Midfielder_Tackles_per_90_Pct,Ball_Winning_Midfielder_Interceptions_per_90_Pct,Ball_Winning_Midfielder_Possessions_Won_Midfield_per_90_Pct,Ball Winning Midfielder Score,Creative_Midfielder_Chances_Created_per_90_Pct,Creative_Midfielder_Expected_Assists_per_90_Pct,Creative_Midfielder_Actual_Assists_per_90_Pct,Creative_Midfielder_Accurate_Passes_per_90_Pct,Creative_Midfielder_Successful_Dribbles_per_90_Pct,Creative Midfielder Score,Goal_Scorer_Goals_per_90_Pct,Goal_Scorer_Expected_Goals_per_90_Pct,Goal_Scorer_Shots_per_90_Pct,Goal_Scorer_Shots_on_Target_per_90_Pct,Goal_Scorer_Shot_Accuracy_(%)_Pct,Goal_Scorer_Shot_Conversion_Rate_(%)_Pct,Goal Scorer Score,Creative_Forward_Expected_Assists_per_90_Pct,Creative_Forward_Actual_Assists_per_90_Pct,Creative_Forward_Chances_Created_per_90_Pct,Creative_Forward_Successful_Dribbles_per_90_Pct,Creative Forward Score,Defensive Defender Metrics Available,Defensive Defender Eligible,Ball Playing Defender Metrics Available,Ball Playing Defender Eligible,Ball Winning Midfielder Metrics Available,Ball Winning Midfielder Eligible,Creative Midfielder Metrics Available,Creative Midfielder Eligible,Goal Scorer Metrics Available,Goal Scorer Eligible,Creative Forward Metrics Available,Creative Forward Eligible
George Baldock,Sheffield United,,,,,1.0,1.0,,,,,,,,0.6,1.0,,,0.0,,,,,,,,,,,,,,,1.0,1.3,,,,,,,,,1.0,0.6,,,7.0,0.6,,,970,13,GRE,,0.0,,0.0,DF,30.0,Defender,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,0.0,False,,,,,,,,
Guglielmo Vicario,Tottenham Hotspur,,,30.2,83.7,,,,7.0,61.0,,,1.2,46.0,0.0,0.0,0.0,0.0,,,,,1.6,61.0,,0.0,1.0,,,,,,,,,6.94,2.0,,,2.9,110.0,,,,,,,,,,,3420,38,ITA,,,,0.0,GK,26.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Hamer,Sheffield United,1.3,33.9,22.2,73.5,10.0,6.0,1.0,,,0.9,50.0,1.0,32.0,4.6,6.0,0.14,0.2,3.0,4.8,0.09,1.5,,,4.0,0.9,29.0,0.5,30.6,0.3,9.0,1.0,36.0,,,7.01,1.0,0.5,2.2,,,0.6,53.8,6.0,4.6,4.0,0.0,70.0,2.2,1.5,9.0,2923,36,NED,8.2,4.0,0.12,0.0,MF,26.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,11.29032258064516,,52.68817204301075,,,10.75268817204301,6.451612903225806,37.634408602150536,,24.193548387096776,86.76470588235294,67.20430107526882,78.49462365591397,60.215053763440864,,,,,,,43.6,,,,,,,,,,,,11.29032258064516,52.68817204301075,24.193548387096776,29.4,86.76470588235294,67.20430107526882,78.49462365591397,10.75268817204301,60.215053763440864,60.7,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Harrison Reed,Fulham,1.4,56.8,41.9,85.3,2.0,2.0,,,,0.3,50.0,1.5,22.0,1.5,2.0,0.1,0.1,0.3,0.6,0.02,1.8,,,,0.7,11.0,0.1,22.2,0.6,9.0,,,,,6.6,0.0,0.5,2.7,,,1.2,62.1,2.0,1.5,,,14.0,1.0,0.6,6.0,1324,27,ENG,0.0,0.0,0.0,0.0,MF,28.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,54.3010752688172,,35.483870967741936,,,62.903225806451616,58.06451612903226,43.54838709677419,,55.376344086021504,44.11764705882353,47.31182795698925,51.61290322580645,12.365591397849462,,,,,,,46.5,,,,,,,,,,,,54.3010752688172,35.483870967741936,55.376344086021504,48.4,44.11764705882353,47.31182795698925,51.61290322580645,62.903225806451616,12.365591397849462,43.7,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Harry Maguire,Manchester United,4.0,49.3,49.9,83.4,2.0,2.0,2.0,,,,,4.5,83.0,0.9,2.0,0.05,0.1,2.0,1.5,0.11,1.1,,,2.0,1.4,25.0,0.2,15.0,1.3,24.0,,,1.0,0.5,7.18,0.0,0.2,1.5,,,0.9,70.8,2.0,0.9,2.0,0.0,6.0,0.3,1.1,4.0,1650,22,ENG,10.0,2.0,0.11,0.0,DF,30.0,Defender,9.0,7.0,1.2857142857142858,100.0,34.76190476190476,94.28571428571428,85.23809523809524,82.85714285714286,97.61904761904762,68.57142857142857,53.80952380952381,90.95238095238095,75.23809523809524,,,,,,,,,,,,75.9,34.76190476190476,94.28571428571428,85.23809523809524,82.85714285714286,97.61904761904762,79.0,68.57142857142857,53.80952380952381,90.95238095238095,75.23809523809524,72.1,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Harry Toffolo,Nottingham Forest,1.1,25.8,21.0,76.2,3.0,3.0,2.0,,,0.1,33.3,2.7,44.0,1.2,3.0,0.07,0.2,1.6,1.1,0.1,1.1,,,1.0,0.9,14.0,0.3,62.5,0.8,13.0,,,,,6.63,1.0,0.1,1.2,,,0.9,53.8,3.0,1.2,1.0,0.0,18.0,1.1,0.5,3.0,1455,23,ENG,12.5,1.0,0.06,0.0,DF,27.0,Defender,9.0,7.0,1.2857142857142858,100.0,34.76190476190476,20.952380952380953,35.23809523809524,46.666666666666664,70.47619047619048,2.857142857142857,15.238095238095239,18.571428571428573,3.8095238095238098,,,,,,,,,,,,27.6,34.76190476190476,20.952380952380953,35.23809523809524,46.666666666666664,70.47619047619048,41.6,2.857142857142857,15.238095238095239,18.571428571428573,3.8095238095238098,10.1,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Harry Wilson,Fulham,1.6,61.7,25.7,79.2,5.0,6.0,2.0,,,0.8,48.4,0.6,11.0,2.7,6.0,0.15,0.3,3.4,3.3,0.19,1.2,,,4.0,0.6,10.0,0.7,32.5,0.2,3.0,,,1.0,2.2,6.8,2.0,0.5,1.9,,,0.8,66.7,6.0,2.7,4.0,0.0,22.0,1.2,2.2,6.0,1614,35,WAL,10.0,4.0,0.22,0.0,FW,26.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,46.2962962962963,62.0253164556962,81.64556962025317,22.78481012658228,22.78481012658228,15.18987341772152,38.607594936708864,15.18987341772152,15.18987341772152,27.77777777777778,34.7,,,,,,,,,,,,,,,,,,,,,,22.78481012658228,15.18987341772152,38.607594936708864,15.18987341772152,15.18987341772152,27.77777777777778,22.5,62.0253164556962,81.64556962025317,46.2962962962963,22.78481012658228,53.2,,,,,,,,,6.0,True,4.0,True
Harvey Elliott,Liverpool,2.7,62.5,53.4,87.7,5.0,6.0,1.0,,,0.6,47.4,0.4,6.0,4.6,6.0,0.31,0.4,2.7,2.8,0.18,0.5,,,3.0,0.4,6.0,1.1,34.7,,,,,1.0,0.9,7.05,2.0,1.3,3.1,,,1.1,63.0,6.0,4.6,3.0,0.0,37.0,2.5,3.3,2.0,1336,34,ENG,6.1,3.0,0.2,0.0,"MF,FW",20.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,47.8494623655914,,9.13978494623656,,,81.72043010752688,74.19354838709677,82.25806451612904,,75.26881720430107,92.15686274509804,97.84946236559139,98.38709677419355,36.02150537634409,,,,,,,69.5,,,,,,,,,,,,47.8494623655914,9.13978494623656,75.26881720430107,44.1,92.15686274509804,97.84946236559139,98.38709677419355,81.72043010752688,36.02150537634409,81.2,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Hee-Chan Hwang,Wolverhampton Wanderers,0.4,58.8,17.5,77.7,4.0,3.0,8.0,,,1.5,54.5,0.3,8.0,2.9,3.0,0.12,0.1,7.7,7.2,0.33,1.3,,,12.0,0.4,10.0,0.8,40.0,0.0,1.0,1.0,29.0,1.0,1.4,7.02,4.0,0.7,1.0,,,0.4,50.0,3.0,2.9,12.0,1.0,17.0,0.7,1.9,6.0,2124,29,KOR,26.7,12.0,0.51,0.0,"FW,MF",27.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,8.024691358024691,48.734177215189874,32.91139240506329,60.75949367088608,78.48101265822784,52.53164556962025,15.822784810126583,25.949367088607595,46.20253164556962,93.82716049382715,46.3,,,,,,,,,,,,,,,,,,,,,,78.48101265822784,52.53164556962025,15.822784810126583,25.949367088607595,46.20253164556962,93.82716049382715,52.1,48.734177215189874,32.91139240506329,8.024691358024691,60.75949367088608,37.6,,,,,,,,,6.0,True,4.0,True
Heung-Min Son,Tottenham Hotspur,0.3,68.8,26.6,85.1,20.0,10.0,7.0,,,1.2,45.3,0.1,4.0,8.3,10.0,0.25,0.3,12.1,13.9,0.37,0.4,,,17.0,0.2,8.0,1.2,47.1,0.0,1.0,1.0,35.0,1.0,1.2,7.5,7.0,1.0,0.8,,,0.4,61.9,10.0,8.3,17.0,2.0,68.0,2.1,2.6,1.0,2946,35,KOR,20.0,17.0,0.52,0.0,FW,31.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,87.03703703703704,90.50632911392405,81.64556962025317,44.303797468354425,81.64556962025317,59.49367088607595,58.86075949367089,70.88607594936708,75.9493670886076,83.9506172839506,73.4,,,,,,,,,,,,,,,,,,,,,,81.64556962025317,59.49367088607595,58.86075949367089,70.88607594936708,75.9493670886076,83.9506172839506,71.8,90.50632911392405,81.64556962025317,87.03703703703704,44.303797468354425,75.9,,,,,,,,,6.0,True,4.0,True
