Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Accurate Passes per 90,Pass Success (%),Big Chances Created,Total Assists,Big Chances Missed,Clean Sheets,Goals Conceded,Successful Dribbles per 90,Dribble Success Rate (%),Clearances per 90,Total Clearances,Expected Assists (xA),Actual Assists,Expected Assists per 90,Actual Assists per 90,Expected Goals (xG),Expected Goals on Target (xGOT),Expected Goals per 90,Fouls Committed per 90,Goals Conceded per 90,Total Goals Conceded,Total Goals,Interceptions per 90,Total Interceptions,Shots on Target per 90,Shot Accuracy (%),Blocks per 90,Total Blocks,Penalties Conceded,Total Matches,Penalties Won,Fouls Won per 90,FotMob Rating,Player of the Match Awards,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Saves per 90,Total Saves,Tackles per 90,Tackle Success Rate (%),Assists,Secondary Assists,Goals,Penalties,Chances Created,Chances Created per 90,Shots per 90,Yellow Cards,Minutes,Matches,Country,Shot Conversion Rate (%),Actual Goals,Goals per 90,Red Cards,Pos,Age,Position_Group,Metrics_Available,Metrics_Required,Metric_Coverage,Metric_Coverage_Pct,Tackles per 90 Percentile,Tackle Success Rate (%) Percentile,Interceptions per 90 Percentile,Clearances per 90 Percentile,Blocks per 90 Percentile,Accurate Passes per 90 Percentile,Pass Success (%) Percentile,Accurate Long Balls per 90 Percentile,Successful Long Balls (%) Percentile,Possessions Won Midfield per 90 Percentile,Chances Created per 90 Percentile,Expected Assists per 90 Percentile,Actual Assists per 90 Percentile,Successful Dribbles per 90 Percentile,Goals per 90 Percentile,Expected Goals per 90 Percentile,Shots per 90 Percentile,Shots on Target per 90 Percentile,Shot Accuracy (%) Percentile,Shot Conversion Rate (%) Percentile,Scouting_Score,Defensive_Defender_Tackles_per_90_Pct,Defensive_Defender_Tackle_Success_Rate_(%)_Pct,Defensive_Defender_Interceptions_per_90_Pct,Defensive_Defender_Clearances_per_90_Pct,Defensive_Defender_Blocks_per_90_Pct,Defensive Defender Score,Ball_Playing_Defender_Accurate_Passes_per_90_Pct,Ball_Playing_Defender_Pass_Success_(%)_Pct,Ball_Playing_Defender_Accurate_Long_Balls_per_90_Pct,Ball_Playing_Defender_Successful_Long_Balls_(%)_Pct,Ball Playing Defender Score,Ball_Winning_Midfielder_Tackles_per_90_Pct,Ball_Winning_Midfielder_Interceptions_per_90_Pct,Ball_Winning_Midfielder_Possessions_Won_Midfield_per_90_Pct,Ball Winning Midfielder Score,Creative_Midfielder_Chances_Created_per_90_Pct,Creative_Midfielder_Expected_Assists_per_90_Pct,Creative_Midfielder_Actual_Assists_per_90_Pct,Creative_Midfielder_Accurate_Passes_per_90_Pct,Creative_Midfielder_Successful_Dribbles_per_90_Pct,Creative Midfielder Score,Goal_Scorer_Goals_per_90_Pct,Goal_Scorer_Expected_Goals_per_90_Pct,Goal_Scorer_Shots_per_90_Pct,Goal_Scorer_Shots_on_Target_per_90_Pct,Goal_Scorer_Shot_Accuracy_(%)_Pct,Goal_Scorer_Shot_Conversion_Rate_(%)_Pct,Goal Scorer Score,Creative_Forward_Expected_Assists_per_90_Pct,Creative_Forward_Actual_Assists_per_90_Pct,Creative_Forward_Chances_Created_per_90_Pct,Creative_Forward_Successful_Dribbles_per_90_Pct,Creative Forward Score,Defensive Defender Metrics Available,Defensive Defender Eligible,Ball Playing Defender Metrics Available,Ball Playing Defender Eligible,Ball Winning Midfielder Metrics Available,Ball Winning Midfielder Eligible,Creative Midfielder Metrics Available,Creative Midfielder Eligible,Goal Scorer Metrics Available,Goal Scorer Eligible,Creative Forward Metrics Available,Creative Forward Eligible
Aaron Wan-Bissaka,Manchester United,0.7,31.7,34.9,82.9,1.0,2.0,,,,0.9,65.4,2.7,54.0,1.4,2.0,0.07,0.1,0.1,0.0,0.01,0.9,,,,2.1,41.0,0.1,33.3,0.8,15.0,1.0,22.0,,,7.03,1.0,0.3,1.8,,,1.3,59.5,2.0,1.4,,,12.0,0.6,0.2,4.0,1781,22,ENG,0.0,0.0,0.0,0.0,DF,25.0,Defender,9.0,7.0,1.2857142857142858,100.0,69.04761904761905,47.14285714285714,98.57142857142858,46.666666666666664,70.47619047619048,40.95238095238095,49.047619047619044,2.380952380952381,12.380952380952381,,,,,,,,,,,,48.5,69.04761904761905,47.14285714285714,98.57142857142858,46.666666666666664,70.47619047619048,66.4,40.95238095238095,49.047619047619044,2.380952380952381,12.380952380952381,26.2,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Abdoulaye Doucouré,Everton,0.6,48.6,23.2,78.5,4.0,2.0,10.0,,,0.9,54.3,0.6,18.0,1.5,2.0,0.05,0.1,8.8,8.8,0.3,1.8,,,7.0,0.5,15.0,0.8,48.9,0.1,3.0,1.0,32.0,,,7.01,0.0,0.9,2.1,,,0.9,62.8,2.0,1.5,7.0,0.0,34.0,1.2,1.6,7.0,2637,32,MLI,14.9,7.0,0.24,0.0,"FW,MF",30.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,46.2962962962963,9.49367088607595,32.91139240506329,24.68354430379747,29.11392405063291,43.67088607594937,6.962025316455696,25.949367088607595,81.0126582278481,58.0246913580247,35.8,,,,,,,,,,,,,,,,,,,,,,29.11392405063291,43.67088607594937,6.962025316455696,25.949367088607595,81.0126582278481,58.0246913580247,40.8,9.49367088607595,32.91139240506329,46.2962962962963,24.68354430379747,28.3,,,,,,,,,6.0,True,4.0,True
Adam Smith,Bournemouth,1.0,18.9,24.7,77.1,2.0,2.0,,,,0.2,33.3,2.0,49.0,1.7,2.0,0.07,0.1,0.1,,0.0,1.3,,,,0.9,21.0,,,0.5,11.0,2.0,28.0,,,6.71,0.0,0.1,1.3,,,1.0,62.2,2.0,1.7,,,17.0,0.7,0.1,6.0,2156,28,ENG,0.0,0.0,0.0,0.0,DF,32.0,Defender,9.0,7.0,1.2857142857142858,100.0,44.285714285714285,61.904761904761905,35.23809523809524,19.047619047619047,45.23809523809524,11.428571428571429,19.047619047619047,13.333333333333334,0.9523809523809524,,,,,,,,,,,,27.8,44.285714285714285,61.904761904761905,35.23809523809524,19.047619047619047,45.23809523809524,41.1,11.428571428571429,19.047619047619047,13.333333333333334,0.9523809523809524,11.2,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Adam Webster,Brighton and Hove Albion,,,,,,,,,,,,,,0.3,0.0,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.4,,,1143,15,ENG,,0.0,,0.0,DF,28.0,Defender,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,0.0,False,,,,,,,,
Adam Wharton,Crystal Palace,,,,,5.0,3.0,,,,,,,,1.5,3.0,,,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,21.0,1.4,,,1305,16,ENG,,0.0,,0.0,MF,19.0,Midfielder,1.0,7.0,0.14285714285714285,10.0,,,,,,,,,,,65.68627450980392,,,,,,,,,,,,,,,,,,,,,,,,,,65.68627450980392,,,,,,,,,,,,,,,,,,,,,,0.0,False,1.0,False,,,,
Albert Sambi Lokonga,Luton Town,,,,,2.0,3.0,,,,,,,,0.8,3.0,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.8,1.0,0.0,9.0,0.6,,,1308,17,BEL,,1.0,,0.0,MF,23.0,Midfielder,1.0,7.0,0.14285714285714285,10.0,,,,,,,,,,,15.686274509803921,,,,,,,,,,,,,,,,,,,,,,,,,,15.686274509803921,,,,,,,,,,,,,,,,,,,,,,0.0,False,1.0,False,,,,
Alejandro Garnacho,Manchester United,0.7,45.2,23.2,79.4,6.0,4.0,7.0,,,1.7,43.2,0.4,12.0,2.9,4.0,0.1,0.1,8.7,7.0,0.3,0.7,,,7.0,0.6,18.0,1.0,28.0,0.1,2.0,,,2.0,1.9,7.09,2.0,0.7,1.4,,,0.5,68.2,4.0,2.9,7.0,0.0,46.0,1.6,3.5,4.0,2573,36,ARG,7.0,7.0,0.24,0.0,FW,19.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,69.1358024691358,39.24050632911392,32.91139240506329,69.62025316455697,29.11392405063291,43.67088607594937,88.60759493670885,49.36708860759494,8.860759493670885,8.641975308641975,43.9,,,,,,,,,,,,,,,,,,,,,,29.11392405063291,43.67088607594937,88.60759493670885,49.36708860759494,8.860759493670885,8.641975308641975,38.0,39.24050632911392,32.91139240506329,69.1358024691358,69.62025316455697,52.7,,,,,,,,,6.0,True,4.0,True
Alex Iwobi,Fulham,1.5,48.8,31.7,81.6,5.0,2.0,2.0,,,1.5,54.8,0.2,6.0,4.3,2.0,0.17,0.1,5.7,6.1,0.22,0.5,,,5.0,0.6,15.0,0.8,36.4,,,,,,,7.06,2.0,0.8,2.4,,,0.7,58.1,2.0,4.3,5.0,0.0,53.0,2.0,2.1,2.0,2342,32,NGA,9.1,5.0,0.19,0.0,"FW,MF",27.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,84.5679012345679,68.9873417721519,32.91139240506329,60.75949367088608,17.72151898734177,26.582278481012654,29.746835443037973,25.949367088607595,29.746835443037973,19.753086419753085,39.7,,,,,,,,,,,,,,,,,,,,,,17.72151898734177,26.582278481012654,29.746835443037973,25.949367088607595,29.746835443037973,19.753086419753085,24.9,68.9873417721519,32.91139240506329,84.5679012345679,60.75949367088608,61.8,,,,,,,,,6.0,True,4.0,True
Alex Scott,Bournemouth,1.3,51.7,31.2,81.0,4.0,1.0,,,,1.2,39.4,1.5,17.0,1.1,1.0,0.09,0.1,0.7,0.9,0.06,1.8,,,1.0,1.1,12.0,0.4,26.7,0.4,4.0,,,,,6.65,1.0,0.9,2.5,,,1.3,62.5,1.0,1.1,1.0,0.0,22.0,2.0,1.3,3.0,1010,23,ENG,6.7,1.0,0.09,0.0,MF,19.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,61.82795698924731,,64.51612903225806,,,37.634408602150536,33.33333333333333,37.634408602150536,,46.774193548387096,82.35294117647058,41.935483870967744,51.61290322580645,76.34408602150538,,,,,,,53.4,,,,,,,,,,,,61.82795698924731,64.51612903225806,46.774193548387096,57.7,82.35294117647058,41.935483870967744,51.61290322580645,37.634408602150536,76.34408602150538,58.0,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Alexander Isak,Newcastle United,0.4,66.7,15.1,80.0,5.0,2.0,21.0,,,1.7,60.0,0.5,12.0,2.8,2.0,0.11,0.1,20.3,22.8,0.81,0.6,,,21.0,0.2,6.0,1.7,55.1,0.0,1.0,,,1.0,0.6,7.37,4.0,0.5,0.8,,,,,2.0,2.8,21.0,5.0,27.0,1.1,3.1,1.0,2265,30,SWE,26.9,21.0,0.83,0.0,FW,23.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,37.03703703703704,43.67088607594937,32.91139240506329,69.62025316455697,98.73417721518987,98.10126582278481,75.31645569620254,94.9367088607595,93.67088607594937,95.06172839506173,73.9,,,,,,,,,,,,,,,,,,,,,,98.73417721518987,98.10126582278481,75.31645569620254,94.9367088607595,93.67088607594937,95.06172839506173,92.6,43.67088607594937,32.91139240506329,37.03703703703704,69.62025316455697,45.8,,,,,,,,,6.0,True,4.0,True
Alexis Mac Allister,Liverpool,2.1,57.5,58.4,87.8,3.0,5.0,2.0,,,0.6,60.0,0.9,25.0,4.9,5.0,0.17,0.2,3.7,4.4,0.13,1.8,,,5.0,1.2,35.0,0.3,20.5,0.3,8.0,,,,,7.51,3.0,0.8,3.4,,,1.9,55.6,5.0,4.9,5.0,1.0,47.0,1.6,1.5,7.0,2609,33,ARG,11.4,5.0,0.17,1.0,MF,24.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,91.39784946236558,,73.11827956989248,,,86.55913978494624,75.26881720430107,66.12903225806451,,84.94623655913979,74.50980392156863,77.41935483870968,78.49462365591397,36.02150537634409,,,,,,,74.4,,,,,,,,,,,,91.39784946236558,73.11827956989248,84.94623655913979,83.2,74.50980392156863,77.41935483870968,78.49462365591397,86.55913978494624,36.02150537634409,70.6,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Alfie Doughty,Luton Town,2.0,39.1,25.1,75.2,10.0,8.0,2.0,,,1.0,57.9,1.1,36.0,5.4,8.0,0.17,0.2,1.3,1.6,0.04,0.9,,,2.0,0.9,31.0,0.2,30.8,0.3,9.0,,,,,7.16,2.0,0.3,1.8,,,1.2,63.5,8.0,5.4,2.0,0.0,70.0,2.1,0.8,5.0,2937,37,ENG,7.7,2.0,0.06,0.0,DF,23.0,Defender,9.0,7.0,1.2857142857142858,100.0,60.476190476190474,71.42857142857143,35.23809523809524,3.8095238095238098,20.952380952380953,12.857142857142856,8.571428571428571,57.14285714285714,41.904761904761905,,,,,,,,,,,,34.7,60.476190476190474,71.42857142857143,35.23809523809524,3.8095238095238098,20.952380952380953,38.4,12.857142857142856,8.571428571428571,57.14285714285714,41.904761904761905,30.1,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Alisson Becker,Liverpool,,,30.3,85.1,,,,8.0,30.0,,,0.8,21.0,0.0,0.0,0.0,0.0,,,,0.0,1.1,30.0,,,,,,,,,,,,6.7,0.0,,,3.0,83.0,,,,,,,1.0,0.0,,1.0,2520,28,BRA,,,,0.0,GK,30.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphonse Areola,West Ham United,,,14.2,59.3,,,,4.0,53.0,0.0,100.0,0.9,27.0,0.0,0.0,0.0,0.0,,,,0.1,1.8,53.0,,0.0,1.0,,,,,2.0,31.0,,,6.94,4.0,,,4.6,138.0,0.0,100.0,,,,,,,,1.0,2699,31,FRA,,,,0.0,GK,30.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou Onana,Everton,2.6,70.9,37.4,84.9,4.0,0.0,1.0,,,0.5,60.0,1.3,30.0,1.4,0.0,0.06,0.0,2.0,0.8,0.09,1.6,,,2.0,0.9,21.0,0.3,20.7,0.3,6.0,1.0,30.0,,,7.04,1.0,0.7,3.6,,,1.6,53.5,,,2.0,0.0,18.0,0.8,1.2,5.0,2090,30,BEL,6.9,2.0,0.09,0.0,MF,21.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,83.87096774193549,,52.68817204301075,,,53.76344086021505,54.83870967741935,79.03225806451613,,89.24731182795699,29.901960784313726,20.43010752688172,17.741935483870968,27.956989247311824,,,,,,,50.9,,,,,,,,,,,,83.87096774193549,52.68817204301075,89.24731182795699,75.3,29.901960784313726,20.43010752688172,17.741935483870968,53.76344086021505,27.956989247311824,30.0,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Amari'i Bell,Luton Town,1.5,31.5,32.8,79.6,,,1.0,,,0.5,40.0,2.9,55.0,0.5,0.0,0.03,0.0,0.3,0.8,0.01,1.1,,,,1.3,25.0,0.1,100.0,0.8,15.0,,,,,6.58,0.0,0.2,1.8,,,1.7,66.0,,,,,8.0,0.4,0.1,0.0,1722,21,JAM,0.0,0.0,0.0,,DF,29.0,Defender,9.0,7.0,1.2857142857142858,100.0,91.42857142857143,80.95238095238095,79.04761904761905,56.19047619047619,70.47619047619048,35.23809523809524,34.285714285714285,35.23809523809524,10.952380952380953,,,,,,,,,,,,54.9,91.42857142857143,80.95238095238095,79.04761904761905,56.19047619047619,70.47619047619048,75.6,35.23809523809524,34.285714285714285,35.23809523809524,10.952380952380953,28.9,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Ameen Al Dakhil,Burnley,,,,,,,,,,,,,,0.6,0.0,,,1.3,1.4,,,,,,,,,,,,1.0,13.0,,,,,,,,,,,,,1.0,0.0,2.0,0.2,,,1055,13,BEL,,1.0,,0.0,DF,21.0,Defender,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False,0.0,False,,,,,,,,
Andre Brooks,Sheffield United,0.3,14.3,18.2,77.0,,,1.0,,,1.1,52.2,1.3,14.0,0.3,0.0,0.03,0.0,0.4,0.1,0.04,1.1,,,,1.3,14.0,0.2,22.2,0.1,1.0,,,,,6.33,0.0,0.4,2.5,,,1.2,59.1,,,,,3.0,0.3,0.9,1.0,942,20,ENG,0.0,0.0,0.0,0.0,"MF,DF",19.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,54.3010752688172,,83.33333333333334,,,5.376344086021505,12.903225806451612,2.1505376344086025,,46.774193548387096,2.941176470588235,6.989247311827956,17.741935483870968,69.89247311827957,,,,,,,30.2,,,,,,,,,,,,54.3010752688172,83.33333333333334,46.774193548387096,61.5,2.941176470588235,6.989247311827956,17.741935483870968,5.376344086021505,69.89247311827957,20.6,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Andre Onana,Manchester United,,,25.4,70.4,,,,9.0,58.0,0.0,100.0,0.6,24.0,0.1,0.0,0.0,0.0,,,,0.0,1.5,58.0,,,,,,,,1.0,38.0,,,6.86,2.0,,,3.9,149.0,,,,,,,3.0,0.1,,5.0,3420,38,CMR,,,,0.0,GK,27.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Pereira,Fulham,1.7,46.7,28.6,78.8,9.0,7.0,3.0,,,0.6,46.3,0.4,11.0,5.7,7.0,0.19,0.2,4.6,4.4,0.16,0.8,,,3.0,0.1,4.0,0.5,30.8,0.1,2.0,,,,,6.89,2.0,0.8,1.6,,,0.4,48.0,7.0,5.7,3.0,0.0,84.0,2.9,1.8,6.0,2637,37,BRA,5.8,3.0,0.1,0.0,MF,27.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,5.376344086021505,,1.6129032258064515,,,29.03225806451613,21.50537634408602,54.83870967741935,,6.989247311827956,96.07843137254902,82.79569892473118,78.49462365591397,36.02150537634409,,,,,,,41.3,,,,,,,,,,,,5.376344086021505,1.6129032258064515,6.989247311827956,4.7,96.07843137254902,82.79569892473118,78.49462365591397,29.03225806451613,36.02150537634409,64.5,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Andrew Robertson,Liverpool,2.5,49.0,58.1,87.7,10.0,2.0,,,,0.3,29.4,1.8,34.0,4.4,2.0,0.23,0.1,1.9,2.1,0.1,0.5,,,3.0,0.7,13.0,0.4,58.3,0.3,6.0,,,,,7.48,0.0,0.2,2.1,,,1.3,68.6,2.0,4.4,3.0,0.0,62.0,3.3,0.6,2.0,1691,23,SCO,25.0,3.0,0.16,0.0,DF,29.0,Defender,9.0,7.0,1.2857142857142858,100.0,69.04761904761905,90.47619047619048,13.80952380952381,12.380952380952381,20.952380952380953,82.85714285714286,74.28571428571429,71.42857142857143,73.33333333333333,,,,,,,,,,,,56.5,69.04761904761905,90.47619047619048,13.80952380952381,12.380952380952381,20.952380952380953,41.3,82.85714285714286,74.28571428571429,71.42857142857143,73.33333333333333,75.5,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Andros Townsend,Luton Town,1.1,42.9,20.8,80.2,2.0,3.0,,,,1.2,53.3,0.7,9.0,1.8,3.0,0.13,0.2,1.2,1.9,0.09,1.0,,,1.0,0.4,5.0,0.5,35.0,,,,,,,6.55,0.0,1.2,1.5,,,1.0,61.9,3.0,1.8,1.0,0.0,18.0,1.3,1.5,1.0,1209,27,ENG,5.0,1.0,0.07,0.0,"MF,FW",32.0,Midfielder,10.0,7.0,1.4285714285714286,100.0,37.096774193548384,,9.13978494623656,,,8.60215053763441,26.881720430107524,26.881720430107524,,4.838709677419355,60.29411764705882,63.97849462365591,78.49462365591397,76.34408602150538,,,,,,,39.3,,,,,,,,,,,,37.096774193548384,9.13978494623656,4.838709677419355,17.0,60.29411764705882,63.97849462365591,78.49462365591397,8.60215053763441,76.34408602150538,57.5,,,,,,,,,,,,,,,,,3.0,True,5.0,True,,,,
Anel Ahmedhodzic,Sheffield United,1.6,31.5,24.5,75.6,1.0,0.0,4.0,,,0.4,55.0,4.6,134.0,0.6,0.0,0.02,0.0,3.2,2.0,0.11,1.2,,,2.0,1.2,34.0,0.2,26.3,0.9,26.0,,,,,6.19,0.0,0.0,1.1,,,1.2,56.3,,,2.0,0.0,7.0,0.2,0.6,9.0,2649,31,BIH,10.5,2.0,0.07,1.0,DF,24.0,Defender,9.0,7.0,1.2857142857142858,100.0,60.476190476190474,29.523809523809526,71.9047619047619,85.23809523809524,78.57142857142857,10.476190476190476,9.523809523809524,41.42857142857143,10.952380952380953,,,,,,,,,,,,44.2,60.476190476190474,29.523809523809526,71.9047619047619,85.23809523809524,78.57142857142857,65.1,10.476190476190476,9.523809523809524,41.42857142857143,10.952380952380953,18.1,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Anthony Elanga,Nottingham Forest,0.3,35.0,17.9,75.3,14.0,9.0,10.0,,,1.0,40.0,0.6,16.0,4.0,9.0,0.15,0.3,6.6,6.8,0.24,0.3,,,5.0,0.3,8.0,0.9,42.6,0.1,2.0,,,,,6.89,1.0,0.4,1.6,,,0.7,57.6,9.0,4.0,5.0,0.0,32.0,1.2,2.0,1.0,2434,36,SWE,9.3,5.0,0.18,0.0,"FW,MF",21.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,46.2962962962963,62.0253164556962,81.64556962025317,30.37974683544304,13.924050632911392,30.37974683544304,22.151898734177212,37.9746835443038,59.49367088607595,20.98765432098765,40.5,,,,,,,,,,,,,,,,,,,,,,13.924050632911392,30.37974683544304,22.151898734177212,37.9746835443038,59.49367088607595,20.98765432098765,30.8,62.0253164556962,81.64556962025317,46.2962962962963,30.37974683544304,55.1,,,,,,,,,6.0,True,4.0,True
Anthony Gordon,Newcastle United,0.9,56.9,23.4,81.8,16.0,10.0,9.0,,,1.7,48.6,0.1,4.0,5.6,10.0,0.17,0.3,10.2,9.1,0.32,1.2,,,11.0,0.2,7.0,1.0,38.3,,,,,6.0,2.1,7.51,3.0,0.9,1.4,,,1.1,61.8,10.0,5.6,11.0,1.0,57.0,1.8,2.5,10.0,2898,35,ENG,13.6,11.0,0.34,1.0,FW,22.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,77.1604938271605,68.9873417721519,81.64556962025317,69.62025316455697,48.734177215189874,49.36708860759494,55.06329113924051,49.36708860759494,40.50632911392405,47.53086419753087,58.8,,,,,,,,,,,,,,,,,,,,,,48.734177215189874,49.36708860759494,55.06329113924051,49.36708860759494,40.50632911392405,47.53086419753087,48.4,68.9873417721519,81.64556962025317,77.1604938271605,69.62025316455697,74.4,,,,,,,,,6.0,True,4.0,True
Antoine Semenyo,Bournemouth,0.6,45.5,18.6,74.3,6.0,2.0,5.0,,,2.1,47.6,0.9,20.0,2.3,2.0,0.1,0.1,4.6,6.0,0.2,1.8,,,8.0,0.3,6.0,1.3,44.3,0.1,2.0,,,1.0,1.0,6.88,1.0,0.7,2.3,,,0.7,70.8,2.0,2.3,8.0,0.0,29.0,1.2,3.0,6.0,2111,33,GHA,11.4,8.0,0.34,0.0,FW,23.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,46.2962962962963,39.24050632911392,32.91139240506329,87.34177215189874,48.734177215189874,18.354430379746837,71.51898734177216,79.11392405063292,69.62025316455697,37.03703703703704,53.0,,,,,,,,,,,,,,,,,,,,,,48.734177215189874,18.354430379746837,71.51898734177216,79.11392405063292,69.62025316455697,37.03703703703704,54.1,39.24050632911392,32.91139240506329,46.2962962962963,87.34177215189874,51.4,,,,,,,,,6.0,True,4.0,True
Antonee Robinson,Fulham,2.8,47.0,34.0,75.9,6.0,6.0,2.0,,,1.0,51.4,3.0,109.0,3.7,6.0,0.1,0.2,0.7,1.5,0.02,0.9,,,,2.2,80.0,0.2,43.8,0.2,8.0,,,,,7.17,0.0,0.3,2.0,,,1.6,62.4,6.0,3.7,,,33.0,0.9,0.4,6.0,3270,37,USA,0.0,0.0,0.0,0.0,DF,25.0,Defender,9.0,7.0,1.2857142857142858,100.0,87.61904761904762,63.8095238095238,100.0,60.476190476190474,10.476190476190476,37.142857142857146,12.857142857142856,75.71428571428571,70.47619047619048,,,,,,,,,,,,57.6,87.61904761904762,63.8095238095238,100.0,60.476190476190474,10.476190476190476,64.5,37.142857142857146,12.857142857142856,75.71428571428571,70.47619047619048,49.0,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
Antony,Manchester United,0.7,57.9,30.5,80.0,7.0,1.0,4.0,,,1.8,44.1,0.5,8.0,1.9,1.0,0.13,0.1,3.4,4.1,0.23,1.3,,,1.0,0.8,12.0,1.1,37.2,0.1,1.0,1.0,29.0,1.0,2.2,6.84,1.0,1.7,2.7,,,1.4,52.5,1.0,1.9,1.0,0.0,22.0,1.5,2.9,5.0,1323,29,BRA,2.3,1.0,0.07,0.0,FW,23.0,Forward,10.0,7.0,1.4285714285714286,100.0,,,,,,,,,,,65.4320987654321,52.53164556962025,32.91139240506329,75.9493670886076,1.89873417721519,28.48101265822785,67.72151898734177,61.39240506329114,35.44303797468354,1.2345679012345678,42.3,,,,,,,,,,,,,,,,,,,,,,1.89873417721519,28.48101265822785,67.72151898734177,61.39240506329114,35.44303797468354,1.2345679012345678,32.7,52.53164556962025,32.91139240506329,65.4320987654321,75.9493670886076,56.7,,,,,,,,,6.0,True,4.0,True
Arijanet Muric,Burnley,,,,,1.0,0.0,,,,,,,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.4,,,900,10,KVX,,,,,GK,24.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Young,Everton,1.9,32.4,22.1,72.4,2.0,0.0,,,,0.5,50.0,1.8,45.0,1.4,0.0,0.06,0.0,0.6,0.3,0.02,1.3,,,,0.9,22.0,0.1,15.4,0.2,6.0,1.0,31.0,1.0,0.9,6.67,0.0,0.4,1.9,,,1.5,71.7,,,,,21.0,0.8,0.5,5.0,2288,31,ENG,0.0,0.0,0.0,1.0,"DF,MF",38.0,Defender,9.0,7.0,1.2857142857142858,100.0,83.33333333333334,96.19047619047619,35.23809523809524,12.380952380952381,10.476190476190476,5.238095238095238,3.3333333333333335,51.90476190476191,17.61904761904762,,,,,,,,,,,,35.1,83.33333333333334,96.19047619047619,35.23809523809524,12.380952380952381,10.476190476190476,47.5,5.238095238095238,3.3333333333333335,51.90476190476191,17.61904761904762,19.5,,,,,,,,,,,,,,,,,,,,,,,5.0,True,4.0,True,,,,,,,,
